participant_id,sumber,fase,pct_ok,pct_tinggi,pct_ekstrem,pct_datar,n_potongan_kanal,ptp_median_uv,pct_layak_ketat,delta_db,emg_db,clipping,n_jendela,panjang_median_dtk,cakupan,r_kiri,r_kanan,r_antar
P08,repo_video,Gerak,16.3,17.7,45.5,20.5,288,179.5,32.3,6.5,4.5,0,12,1.3,1.0,0.7,0.4,-0.1
P08,repo_video,Naik,15.8,17.6,51.5,15.1,272,192.1,19.3,12.4,7.8,0,12,0.5,1.0,0.8,0.3,-0.3
P08,repo_video,Tahan,49.1,11.2,13.5,26.2,1568,71.0,25.0,0.2,1.3,0,11,5.2,1.0,0.9,0.4,-0.2
P08,timestamp_manual,Gerak,22.4,12.3,46.5,18.9,848,183.1,14.6,11.9,3.3,0,12,2.9,1.0,0.7,0.4,-0.1
P08,timestamp_manual,Naik,22.5,12.5,42.2,22.7,528,169.5,13.5,5.1,3.8,0,12,2.2,1.0,0.8,0.4,-0.3
P08,timestamp_manual,Tahan,42.5,12.8,19.2,25.5,2000,87.5,13.5,3.0,3.4,0,12,6.1,1.0,0.8,0.4,-0.1
P09,repo_video,Gerak,13.0,11.1,66.8,9.1,208,264.7,20.1,5.8,2.2,0,9,1.0,1.0,0.8,0.7,0.1
P09,repo_video,Naik,16.1,11.7,27.9,44.3,384,148.4,14.4,-4.4,-1.0,0,10,0.9,1.0,0.6,0.5,0.1
P09,repo_video,Tahan,38.9,11.1,15.9,34.1,768,81.6,29.9,-3.1,-0.5,0,9,3.6,1.0,0.7,0.6,0.1
P09,timestamp_manual,Gerak,16.4,12.8,55.3,15.5,1072,228.5,7.3,5.4,5.0,0,12,3.7,1.0,0.7,0.5,0.1
P09,timestamp_manual,Naik,16.1,6.4,44.9,32.7,896,233.3,12.5,1.4,2.3,0,12,3.2,1.0,0.7,0.5,0.1
P09,timestamp_manual,Tahan,22.0,14.1,44.4,19.6,1488,177.7,12.0,3.0,2.5,0,12,4.6,1.0,0.6,0.6,0.1
P31,repo_video,Gerak,13.1,11.2,63.7,11.9,160,355.3,22.2,12.0,5.1,0,9,0.7,1.0,0.2,0.8,0.0
P31,repo_video,Naik,27.6,16.2,42.4,13.8,720,143.9,22.5,6.1,2.5,0,10,2.8,1.0,0.4,0.6,-0.1
P31,repo_video,Tahan,23.3,11.1,44.9,20.7,352,188.2,27.5,6.0,2.0,0,10,1.8,1.0,0.4,0.6,-0.0
P31,timestamp_manual,Gerak,13.8,12.9,61.2,12.1,816,300.4,12.5,12.5,5.7,0,10,3.3,1.0,0.5,0.7,0.0
P31,timestamp_manual,Naik,12.5,10.9,54.2,22.4,496,268.2,8.1,10.6,6.0,0,10,2.1,1.0,0.4,0.7,-0.1
P31,timestamp_manual,Tahan,22.4,13.3,48.6,15.7,1328,180.5,8.1,10.4,5.4,0,10,4.8,1.0,0.3,0.7,0.0
P32,repo_video,Gerak,2.6,3.3,85.7,8.5,272,516.9,5.2,11.9,10.5,0,12,0.9,1.0,0.5,0.6,0.0
P32,repo_video,Naik,12.3,12.5,59.6,15.6,480,234.3,20.8,1.7,1.2,0,12,1.0,1.0,0.3,0.6,-0.1
P32,repo_video,Tahan,13.8,10.9,60.2,15.1,384,222.7,19.3,2.0,2.2,0,11,1.6,1.0,0.3,0.7,-0.1
P32,timestamp_manual,Gerak,3.1,4.8,77.5,14.7,816,456.6,0.0,11.4,10.2,0,12,2.4,1.0,0.5,0.5,-0.0
P32,timestamp_manual,Naik,9.6,10.0,66.2,14.3,848,332.5,4.7,9.7,7.0,0,12,2.9,1.0,0.4,0.7,-0.1
P32,timestamp_manual,Tahan,8.8,6.7,70.3,14.1,1008,382.8,1.6,7.6,5.9,0,12,3.8,1.0,0.4,0.6,-0.0
