participant_id,sumber,gerakan,rep,fase,kanal,belahan,datar_frac,ptp_uv,clipping,layak_ketat,delta_db,emg_db
P08,timestamp_manual,Ngeed,1,Gerak,Fp1,kiri (A1),0.476,188.2,False,False,-5.888,-0.683
P08,timestamp_manual,Ngeed,1,Gerak,F3,kiri (A1),0.0,161.0,False,False,1.975,3.054
P08,timestamp_manual,Ngeed,1,Gerak,C3,kiri (A1),0.0,147.9,False,True,3.493,2.139
P08,timestamp_manual,Ngeed,1,Gerak,P3,kiri (A1),0.0,117.3,False,True,2.444,2.47
P08,timestamp_manual,Ngeed,1,Gerak,O1,kiri (A1),0.0,213.8,False,False,-0.368,1.817
P08,timestamp_manual,Ngeed,1,Gerak,F7,kiri (A1),0.0,179.8,False,False,2.049,2.083
P08,timestamp_manual,Ngeed,1,Gerak,T3,kiri (A1),0.0,197.2,False,False,0.797,1.52
P08,timestamp_manual,Ngeed,1,Gerak,T5,kiri (A1),0.35,57.7,False,False,4.053,3.509
P08,timestamp_manual,Ngeed,1,Gerak,Fp2,kanan (A2),0.0,285.4,False,False,11.68,4.131
P08,timestamp_manual,Ngeed,1,Gerak,F4,kanan (A2),0.22,255.9,False,False,14.883,6.637
P08,timestamp_manual,Ngeed,1,Gerak,C4,kanan (A2),0.524,167.2,False,False,7.035,0.052
P08,timestamp_manual,Ngeed,1,Gerak,P4,kanan (A2),0.524,168.6,False,False,8.988,1.601
P08,timestamp_manual,Ngeed,1,Gerak,O2,kanan (A2),0.307,200.3,False,False,11.662,7.818
P08,timestamp_manual,Ngeed,1,Gerak,F8,kanan (A2),0.0,269.3,False,False,12.379,2.702
P08,timestamp_manual,Ngeed,1,Gerak,T4,kanan (A2),0.0,283.6,False,False,13.351,3.691
P08,timestamp_manual,Ngeed,1,Gerak,T6,kanan (A2),0.22,280.9,False,False,10.799,0.292
P08,timestamp_manual,Ngeed,1,Tahan,Fp1,kiri (A1),0.166,177.3,False,False,3.161,0.828
P08,timestamp_manual,Ngeed,1,Tahan,F3,kiri (A1),0.468,88.5,False,False,-12.767,-10.482
P08,timestamp_manual,Ngeed,1,Tahan,C3,kiri (A1),0.515,92.6,False,False,-12.775,-7.282
P08,timestamp_manual,Ngeed,1,Tahan,P3,kiri (A1),0.656,84.3,False,False,-12.416,-7.492
P08,timestamp_manual,Ngeed,1,Tahan,O1,kiri (A1),0.187,127.5,False,False,-5.559,-4.02
P08,timestamp_manual,Ngeed,1,Tahan,F7,kiri (A1),0.328,92.1,False,False,-4.848,-6.092
P08,timestamp_manual,Ngeed,1,Tahan,T3,kiri (A1),0.375,104.2,False,False,-5.808,-6.279
P08,timestamp_manual,Ngeed,1,Tahan,T5,kiri (A1),0.506,35.2,False,False,0.67,-3.171
P08,timestamp_manual,Ngeed,1,Tahan,Fp2,kanan (A2),0.0,240.5,False,False,5.915,3.412
P08,timestamp_manual,Ngeed,1,Tahan,F4,kanan (A2),0.506,53.7,False,False,-0.841,-0.495
P08,timestamp_manual,Ngeed,1,Tahan,C4,kanan (A2),0.319,58.8,False,False,-5.113,-3.875
P08,timestamp_manual,Ngeed,1,Tahan,P4,kanan (A2),0.365,42.8,False,False,0.545,-3.072
P08,timestamp_manual,Ngeed,1,Tahan,O2,kanan (A2),0.412,144.1,False,False,8.876,6.239
P08,timestamp_manual,Ngeed,1,Tahan,F8,kanan (A2),0.225,58.4,False,False,3.024,-1.427
P08,timestamp_manual,Ngeed,1,Tahan,T4,kanan (A2),0.0,40.8,False,True,1.823,-0.138
P08,timestamp_manual,Ngeed,1,Tahan,T6,kanan (A2),0.459,33.8,False,False,0.638,-9.532
P08,timestamp_manual,Ngeed,1,Naik,Fp1,kiri (A1),0.0,345.0,False,False,2.983,8.163
P08,timestamp_manual,Ngeed,1,Naik,F3,kiri (A1),0.0,123.7,False,True,-1.951,1.611
P08,timestamp_manual,Ngeed,1,Naik,C3,kiri (A1),0.0,104.2,False,True,-6.84,-2.531
P08,timestamp_manual,Ngeed,1,Naik,P3,kiri (A1),0.189,79.8,False,False,-6.807,-2.4
P08,timestamp_manual,Ngeed,1,Naik,O1,kiri (A1),0.0,187.5,False,False,-1.344,2.019
P08,timestamp_manual,Ngeed,1,Naik,F7,kiri (A1),0.0,192.8,False,False,-1.282,3.438
P08,timestamp_manual,Ngeed,1,Naik,T3,kiri (A1),0.0,205.4,False,False,-1.521,3.025
P08,timestamp_manual,Ngeed,1,Naik,T5,kiri (A1),0.856,14.4,False,False,-34.457,-55.533
P08,timestamp_manual,Ngeed,1,Naik,Fp2,kanan (A2),0.0,174.3,False,False,-0.711,3.636
P08,timestamp_manual,Ngeed,1,Naik,F4,kanan (A2),0.744,25.0,False,False,-22.156,-44.881
P08,timestamp_manual,Ngeed,1,Naik,C4,kanan (A2),1.0,0.5,False,False,-52.016,-86.542
P08,timestamp_manual,Ngeed,1,Naik,P4,kanan (A2),1.0,0.2,False,False,-63.422,-82.726
P08,timestamp_manual,Ngeed,1,Naik,O2,kanan (A2),0.856,29.9,False,False,-34.106,-42.412
P08,timestamp_manual,Ngeed,1,Naik,F8,kanan (A2),0.522,46.3,False,False,-10.944,-4.0
P08,timestamp_manual,Ngeed,1,Naik,T4,kanan (A2),0.0,64.0,False,True,0.283,1.576
P08,timestamp_manual,Ngeed,1,Naik,T6,kanan (A2),0.744,22.7,False,False,-38.676,-50.773
P08,timestamp_manual,Ngeed,1,Berdiri,Fp1,kiri (A1),0.24,186.6,False,False,-1.654,-0.018
P08,timestamp_manual,Ngeed,1,Berdiri,F3,kiri (A1),0.24,182.7,False,False,2.245,-0.124
P08,timestamp_manual,Ngeed,1,Berdiri,C3,kiri (A1),0.293,201.1,False,False,2.817,0.984
P08,timestamp_manual,Ngeed,1,Berdiri,P3,kiri (A1),0.4,156.8,False,False,3.119,1.023
P08,timestamp_manual,Ngeed,1,Berdiri,O1,kiri (A1),0.08,202.0,False,False,0.302,-2.141
P08,timestamp_manual,Ngeed,1,Berdiri,F7,kiri (A1),0.027,202.4,False,False,3.244,0.361
P08,timestamp_manual,Ngeed,1,Berdiri,T3,kiri (A1),0.027,193.2,False,False,1.531,0.202
P08,timestamp_manual,Ngeed,1,Berdiri,T5,kiri (A1),0.307,67.8,False,False,3.948,3.373
P08,timestamp_manual,Ngeed,1,Berdiri,Fp2,kanan (A2),0.0,248.1,False,False,8.988,3.455
P08,timestamp_manual,Ngeed,1,Berdiri,F4,kanan (A2),0.253,78.2,False,False,7.978,3.45
P08,timestamp_manual,Ngeed,1,Berdiri,C4,kanan (A2),0.227,80.9,False,False,3.983,0.25
P08,timestamp_manual,Ngeed,1,Berdiri,P4,kanan (A2),0.307,49.0,False,False,3.04,0.892
P08,timestamp_manual,Ngeed,1,Berdiri,O2,kanan (A2),0.253,89.4,False,False,7.263,3.998
P08,timestamp_manual,Ngeed,1,Berdiri,F8,kanan (A2),0.0,112.6,False,True,7.775,4.236
P08,timestamp_manual,Ngeed,1,Berdiri,T4,kanan (A2),0.0,98.4,False,True,6.709,2.873
P08,timestamp_manual,Ngeed,1,Berdiri,T6,kanan (A2),0.227,52.2,False,False,3.453,-4.385
P08,timestamp_manual,Ngeed,2,Gerak,Fp1,kiri (A1),0.0,135.2,False,True,1.161,0.729
P08,timestamp_manual,Ngeed,2,Gerak,F3,kiri (A1),0.0,180.1,False,False,4.885,3.024
P08,timestamp_manual,Ngeed,2,Gerak,C3,kiri (A1),0.015,135.0,False,True,2.09,1.626
P08,timestamp_manual,Ngeed,2,Gerak,P3,kiri (A1),0.167,116.1,False,False,3.646,0.847
P08,timestamp_manual,Ngeed,2,Gerak,O1,kiri (A1),0.0,233.5,False,False,5.453,0.886
P08,timestamp_manual,Ngeed,2,Gerak,F7,kiri (A1),0.0,200.4,False,False,3.817,2.194
P08,timestamp_manual,Ngeed,2,Gerak,T3,kiri (A1),0.0,203.8,False,False,3.728,2.366
P08,timestamp_manual,Ngeed,2,Gerak,T5,kiri (A1),0.776,28.1,False,False,-12.324,-9.39
P08,timestamp_manual,Ngeed,2,Gerak,Fp2,kanan (A2),0.0,128.5,False,True,5.581,0.8
P08,timestamp_manual,Ngeed,2,Gerak,F4,kanan (A2),0.624,48.8,False,False,-3.414,-1.802
P08,timestamp_manual,Ngeed,2,Gerak,C4,kanan (A2),1.0,0.3,False,False,-51.847,-76.838
P08,timestamp_manual,Ngeed,2,Gerak,P4,kanan (A2),1.0,0.1,False,False,-58.223,-77.766
P08,timestamp_manual,Ngeed,2,Gerak,O2,kanan (A2),0.624,60.4,False,False,-10.161,-15.647
P08,timestamp_manual,Ngeed,2,Gerak,F8,kanan (A2),0.0,56.9,False,True,1.495,-1.153
P08,timestamp_manual,Ngeed,2,Gerak,T4,kanan (A2),0.0,89.0,False,True,7.395,0.498
P08,timestamp_manual,Ngeed,2,Gerak,T6,kanan (A2),0.7,44.9,False,False,-9.769,-10.305
P08,timestamp_manual,Ngeed,2,Tahan,Fp1,kiri (A1),0.128,212.6,False,False,-2.621,1.995
P08,timestamp_manual,Ngeed,2,Tahan,F3,kiri (A1),0.224,210.7,False,False,1.998,3.589
P08,timestamp_manual,Ngeed,2,Tahan,C3,kiri (A1),0.277,216.8,False,False,3.856,3.358
P08,timestamp_manual,Ngeed,2,Tahan,P3,kiri (A1),0.309,167.0,False,False,3.401,3.018
P08,timestamp_manual,Ngeed,2,Tahan,O1,kiri (A1),0.032,179.3,False,False,-2.429,-0.126
P08,timestamp_manual,Ngeed,2,Tahan,F7,kiri (A1),0.032,231.2,False,False,1.328,3.523
P08,timestamp_manual,Ngeed,2,Tahan,T3,kiri (A1),0.032,218.8,False,False,-0.134,2.265
P08,timestamp_manual,Ngeed,2,Tahan,T5,kiri (A1),0.213,88.7,False,False,7.061,5.866
P08,timestamp_manual,Ngeed,2,Tahan,Fp2,kanan (A2),0.0,177.3,False,False,8.903,5.257
P08,timestamp_manual,Ngeed,2,Tahan,F4,kanan (A2),0.181,56.0,False,False,5.843,4.388
P08,timestamp_manual,Ngeed,2,Tahan,C4,kanan (A2),0.199,73.8,False,False,0.392,3.439
P08,timestamp_manual,Ngeed,2,Tahan,P4,kanan (A2),0.263,60.4,False,False,3.59,3.102
P08,timestamp_manual,Ngeed,2,Tahan,O2,kanan (A2),0.149,81.7,False,False,6.145,6.149
P08,timestamp_manual,Ngeed,2,Tahan,F8,kanan (A2),0.021,137.5,False,True,4.806,5.941
P08,timestamp_manual,Ngeed,2,Tahan,T4,kanan (A2),0.0,123.7,False,True,6.566,6.184
P08,timestamp_manual,Ngeed,2,Tahan,T6,kanan (A2),0.149,56.2,False,False,2.66,-3.839
P08,timestamp_manual,Ngeed,2,Naik,Fp1,kiri (A1),0.0,293.4,False,False,4.319,8.788
P08,timestamp_manual,Ngeed,2,Naik,F3,kiri (A1),0.167,179.5,False,False,1.456,4.805
P08,timestamp_manual,Ngeed,2,Naik,C3,kiri (A1),0.258,137.4,False,False,-4.693,-0.15
P08,timestamp_manual,Ngeed,2,Naik,P3,kiri (A1),0.439,112.0,False,False,-7.473,-4.847
P08,timestamp_manual,Ngeed,2,Naik,O1,kiri (A1),0.0,287.8,False,False,3.478,5.855
P08,timestamp_manual,Ngeed,2,Naik,F7,kiri (A1),0.0,227.1,False,False,2.503,6.365
P08,timestamp_manual,Ngeed,2,Naik,T3,kiri (A1),0.0,259.0,False,False,2.279,6.027
P08,timestamp_manual,Ngeed,2,Naik,T5,kiri (A1),1.0,0.2,False,False,-50.885,-77.91
P08,timestamp_manual,Ngeed,2,Naik,Fp2,kanan (A2),0.0,151.2,False,False,4.182,4.628
P08,timestamp_manual,Ngeed,2,Naik,F4,kanan (A2),0.891,2.8,False,False,-50.617,-48.021
P08,timestamp_manual,Ngeed,2,Naik,C4,kanan (A2),0.923,1.5,False,False,-38.411,-58.392
P08,timestamp_manual,Ngeed,2,Naik,P4,kanan (A2),1.0,0.4,False,False,-46.032,-77.374
P08,timestamp_manual,Ngeed,2,Naik,O2,kanan (A2),0.891,11.5,False,False,-26.786,-35.816
P08,timestamp_manual,Ngeed,2,Naik,F8,kanan (A2),0.543,29.4,False,False,-18.249,-13.954
P08,timestamp_manual,Ngeed,2,Naik,T4,kanan (A2),0.0,66.0,False,True,-0.921,5.82
P08,timestamp_manual,Ngeed,2,Naik,T6,kanan (A2),0.982,1.0,False,False,-47.034,-78.002
P08,timestamp_manual,Ngeed,2,Berdiri,Fp1,kiri (A1),0.286,180.0,False,False,-1.557,1.628
P08,timestamp_manual,Ngeed,2,Berdiri,F3,kiri (A1),0.143,250.9,False,False,3.411,3.855
P08,timestamp_manual,Ngeed,2,Berdiri,C3,kiri (A1),0.22,200.4,False,False,3.033,4.628
