participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P03,AGEM KANAN,1,NAIK,beta,684.9769483039221,1927.2765162327812,684.9769483039221,1927.2765162327812,
P03,AGEM KANAN,1,NAIK,mu,1343.9804690567203,2515.187777242706,1343.9804690567203,2515.187777242706,
P03,AGEM KANAN,1,NAIK,theta,1796.381261359434,1254.553269393612,1796.381261359434,1254.553269393612,
P03,AGEM KANAN,1,POST,beta,319.1010648693585,2974.943252760356,319.1010648693585,2974.943252760356,
P03,AGEM KANAN,1,POST,mu,733.5190068949705,1614.2001536022008,733.5190068949705,1614.2001536022008,
P03,AGEM KANAN,1,POST,theta,1111.9982487005577,1137.944991379961,1111.9982487005577,1137.944991379961,
P03,AGEM KANAN,1,PRA,beta,3.361692362588422,36.05988144880577,3.361692362588422,36.05988144880577,
P03,AGEM KANAN,1,PRA,mu,-1.133198112186706,78.34970323881733,-1.133198112186706,78.34970323881733,
P03,AGEM KANAN,1,PRA,theta,-7.015902555159398,-37.60388645490937,-7.015902555159398,-37.60388645490937,-0.685525068100335
P03,AGEM KANAN,1,TAHAN,beta,38.99459199807766,181.34222147672534,38.99459199807766,181.34222147672534,
P03,AGEM KANAN,1,TAHAN,mu,146.62860607220327,-5.451807869347653,146.62860607220327,-5.451807869347653,
P03,AGEM KANAN,1,TAHAN,theta,99.62903908040659,-7.904767006965974,99.62903908040659,-7.904767006965974,
P03,AGEM KANAN,1,TURUN,beta,752.6784759758074,4911.755334974561,752.6784759758074,4911.755334974561,
P03,AGEM KANAN,1,TURUN,mu,993.7389232689341,1936.3186822650828,993.7389232689341,1936.3186822650828,
P03,AGEM KANAN,1,TURUN,theta,547.812858275251,1264.112352793684,547.812858275251,1264.112352793684,
P03,AGEM KANAN,3,NAIK,beta,-38.34205028888771,-50.11411537504419,-38.34205028888771,-50.11411537504419,-0.13308360132725663
