participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P01,NGEED,1,PRA,theta,C3,-98.00085356723739,-98.45223251832988,False
P01,NGEED,1,PRA,theta,C4,-86.7898543216921,-98.4678796720197,False
P01,NGEED,1,PRA,theta,P3,785.3968892364362,1259.670708681314,False
P01,NGEED,1,PRA,theta,P4,215.20658014106039,-50.25223172344824,False
P01,NGEED,1,PRA,theta,O1,146.75943159680546,23.34407298817851,False
P01,NGEED,1,PRA,theta,O2,355.4590658196833,-20.179219937495496,False
P01,NGEED,1,PRA,mu,C3,-97.02813815500458,-96.15623343733606,False
P01,NGEED,1,PRA,mu,C4,-83.62776254872492,-96.23174869639587,False
P01,NGEED,1,PRA,mu,P3,903.3378118958565,1080.3151790213694,False
P01,NGEED,1,PRA,mu,P4,96.6737380801194,26.606628070329986,False
P01,NGEED,1,PRA,mu,O1,36.0953104777864,62.88504987691888,False
P01,NGEED,1,PRA,mu,O2,317.51242219736434,73.31714828054791,False
P01,NGEED,1,PRA,beta,C3,-97.41685091330507,-96.39402915472354,False
P01,NGEED,1,PRA,beta,C4,-80.9908996295533,-84.1309727391637,False
P01,NGEED,1,PRA,beta,P3,1545.6410506805387,1592.808956124654,False
P01,NGEED,1,PRA,beta,P4,140.50416932699846,97.45285661458138,False
P01,NGEED,1,PRA,beta,O1,331.44204164947865,400.56887159593543,False
P01,NGEED,1,PRA,beta,O2,823.4018753640028,567.4594781328683,False
P01,NGEED,1,TURUN,theta,C3,-31.725506670499815,-47.14092030923671,False
P01,NGEED,1,TURUN,theta,C4,-76.04178639680282,-97.22131254435537,False
P01,NGEED,1,TURUN,theta,P3,-76.17005692099241,-63.40525250544753,False
P01,NGEED,1,TURUN,theta,P4,436.4846192389253,-15.328821784467795,False
P01,NGEED,1,TURUN,theta,O1,530.922656804275,215.37019568888266,False
P01,NGEED,1,TURUN,theta,O2,4.882578099767132,-81.61896462896543,False
P01,NGEED,1,TURUN,mu,C3,-37.914335671482526,-19.699227954151077,False
P01,NGEED,1,TURUN,mu,C4,-83.92470588298512,-96.30009348492906,False
P01,NGEED,1,TURUN,mu,P3,-39.09247469684518,-28.349080658983716,False
P01,NGEED,1,TURUN,mu,P4,124.26783267970025,44.37003311876322,False
P01,NGEED,1,TURUN,mu,O1,161.6251821924741,213.12490269409224,False
P01,NGEED,1,TURUN,mu,O2,-0.21204561486058982,-58.576169792126144,False
P01,NGEED,1,TURUN,beta,C3,100.33059962931183,179.65335233682848,False
P01,NGEED,1,TURUN,beta,C4,-66.79163506575976,-72.27725467489468,False
P01,NGEED,1,TURUN,beta,P3,426.4764232105575,441.5664637380969,False
P01,NGEED,1,TURUN,beta,P4,57.944037071320786,29.671354106835857,False
P01,NGEED,1,TURUN,beta,O1,914.2863206120195,1076.7980631717032,False
P01,NGEED,1,TURUN,beta,O2,87.71294978069703,35.68392142372036,False
P01,NGEED,1,TAHAN,theta,C3,216.0611380681957,144.69900938952014,False
P01,NGEED,1,TAHAN,theta,C4,-47.69512187654884,-93.93365001590685,False
P01,NGEED,1,TAHAN,theta,P3,-62.118799252179166,-41.82726448146066,False
P01,NGEED,1,TAHAN,theta,P4,195.34429715097951,-53.38701479552639,False
P01,NGEED,1,TAHAN,theta,O1,32.247886602580756,-33.895159053963994,False
P01,NGEED,1,TAHAN,theta,O2,199.284911630716,-47.54928181238747,False
P01,NGEED,1,TAHAN,mu,C3,103.99649679017688,163.8463542923791,False
P01,NGEED,1,TAHAN,mu,C4,-66.49016092050739,-92.28734037295384,False
P01,NGEED,1,TAHAN,mu,P3,-84.95123307495575,-82.29680191796844,False
P01,NGEED,1,TAHAN,mu,P4,-26.82332329188736,-52.893292303049456,False
P01,NGEED,1,TAHAN,mu,O1,-4.1104388387663064,14.764982699185335,False
P01,NGEED,1,TAHAN,mu,O2,212.67936895305252,29.79900398624946,False
P01,NGEED,1,TAHAN,beta,C3,-34.791661529774245,-8.971817149969697,False
P01,NGEED,1,TAHAN,beta,C4,-45.2990937899926,-54.33502086250181,False
P01,NGEED,1,TAHAN,beta,P3,-24.096768452811425,-21.92120504726801,False
P01,NGEED,1,TAHAN,beta,P4,27.434060334166,4.622798487807089,False
P01,NGEED,1,TAHAN,beta,O1,-14.34093089372036,-0.6163993648891419,False
P01,NGEED,1,TAHAN,beta,O2,267.979893521505,165.98567129445422,False
P01,NGEED,1,NAIK,theta,C3,5.493999813642514,-18.325051258384494,False
P01,NGEED,1,NAIK,theta,C4,252.49357759143476,-59.11759121648741,False
P01,NGEED,1,NAIK,theta,P3,-4.839547355645535,46.13432874941195,False
P01,NGEED,1,NAIK,theta,P4,295.9036964562016,-37.51613515707888,False
P01,NGEED,1,NAIK,theta,O1,590.8180578190214,245.30924469143653,False
P01,NGEED,1,NAIK,theta,O2,275.1153706113972,-34.25973102159905,False
P01,NGEED,1,NAIK,mu,C3,61.988963102091496,109.514369229833,False
P01,NGEED,1,NAIK,mu,C4,21.54297056657284,-72.02554271250588,False
P01,NGEED,1,NAIK,mu,P3,-81.16269807181975,-77.84001247234218,False
P01,NGEED,1,NAIK,mu,P4,71.9699708377032,10.703840531291764,False
P01,NGEED,1,NAIK,mu,O1,-10.843047028274865,6.7070913809620825,False
P01,NGEED,1,NAIK,mu,O2,265.502520712891,51.726873767997006,False
P01,NGEED,1,NAIK,beta,C3,61.71797319245928,125.75169954101911,False
P01,NGEED,1,NAIK,beta,C4,91.72407161409927,60.05357748190896,False
P01,NGEED,1,NAIK,beta,P3,232.07220568683948,241.5901685451301,False
P01,NGEED,1,NAIK,beta,P4,499.5592200507624,392.2354611976527,False
P01,NGEED,1,NAIK,beta,O1,39.2158326646316,61.5213760782263,False
P01,NGEED,1,NAIK,beta,O2,571.7796798787148,385.5802511505186,False
P01,NGEED,1,POST,theta,C3,2217.3946970759207,1694.1597951743465,False
P01,NGEED,1,POST,theta,C4,866.5941550420358,12.106148555095487,False
P01,NGEED,1,POST,theta,P3,827.2780924035807,1323.9860975006789,False
P01,NGEED,1,POST,theta,P4,5109.161214011154,722.1406573233859,False
P01,NGEED,1,POST,theta,O1,5890.139000594816,2894.2042633083565,False
P01,NGEED,1,POST,theta,O2,10000.170576312059,1670.0899041600394,False
P01,NGEED,1,POST,mu,C3,2062.6915361004367,2697.196453064593,False
P01,NGEED,1,POST,mu,C4,694.809304462569,82.93414119916214,False
P01,NGEED,1,POST,mu,P3,614.039757744673,739.9882417451026,False
P01,NGEED,1,POST,mu,P4,3621.1751678497712,2295.466954864001,False
P01,NGEED,1,POST,mu,O1,2595.0350471749516,3125.5403697454162,False
P01,NGEED,1,POST,mu,O2,16218.005575447256,6673.906694986125,False
P01,NGEED,1,POST,beta,C3,425.8921812734478,634.124051607582,False
P01,NGEED,1,POST,beta,C4,214.09450066477723,162.20989401882937,False
P01,NGEED,1,POST,beta,P3,971.2128846547348,1001.91634093581,False
P01,NGEED,1,POST,beta,P4,1296.6332490884877,1046.6297047868634,False
P01,NGEED,1,POST,beta,O1,1204.7888834838038,1413.845745257815,False
P01,NGEED,1,POST,beta,O2,4316.989126350297,3092.7174243935397,False
P01,NGEED,2,PRA,theta,C3,-95.80555944843726,-88.23234391213735,False
P01,NGEED,2,PRA,theta,C4,232.86924762230035,-49.53581476313057,False
P01,NGEED,2,PRA,theta,P3,1289.5850695317574,1341.138885344545,False
P01,NGEED,2,PRA,theta,P4,285.75405066899265,73.81144223919804,False
P01,NGEED,2,PRA,theta,O1,-30.184677352963874,-51.179701675427665,False
P01,NGEED,2,PRA,theta,O2,202.34068688014014,7.091096592552515,False
P01,NGEED,2,PRA,mu,C3,-96.53550873931485,-82.17032830540568,False
P01,NGEED,2,PRA,mu,C4,118.73465664136837,1.7402374930012732,False
P01,NGEED,2,PRA,mu,P3,775.902620141251,661.3355257979259,False
P01,NGEED,2,PRA,mu,P4,554.4828199427159,256.5464120055983,False
P01,NGEED,2,PRA,mu,O1,74.81049327009319,119.05164446653349,False
P01,NGEED,2,PRA,mu,O2,387.27669393109363,370.1596305488276,False
P01,NGEED,2,PRA,beta,C3,-68.2131594729255,-63.100659096157216,False
P01,NGEED,2,PRA,beta,C4,274.32421185399596,158.3435082285086,False
P01,NGEED,2,PRA,beta,P3,494.09398575298115,675.1953510482929,False
P01,NGEED,2,PRA,beta,P4,265.4917674702986,162.8740103666538,False
P01,NGEED,2,PRA,beta,O1,477.30953470337204,332.93383298907503,False
P01,NGEED,2,PRA,beta,O2,533.5676444865265,636.1326249573627,False
P01,NGEED,2,TURUN,theta,C3,-69.79428927513774,-15.256775884637886,False
P01,NGEED,2,TURUN,theta,C4,-87.19942454821678,-98.05938633456978,False
P01,NGEED,2,TURUN,theta,P3,240.68697136431254,253.3265094225695,False
P01,NGEED,2,TURUN,theta,P4,200.3126755152854,35.31362577658028,False
P01,NGEED,2,TURUN,theta,O1,509.81122671223835,326.4273927412519,False
P01,NGEED,2,TURUN,theta,O2,-7.194555443661821,-67.12768985922936,False
P01,NGEED,2,TURUN,mu,C3,-73.3903314448514,36.9441047879687,False
P01,NGEED,2,TURUN,mu,C4,-74.97545797809889,-88.36031341555459,False
P01,NGEED,2,TURUN,mu,P3,297.99431693313153,245.93710028862353,False
P01,NGEED,2,TURUN,mu,P4,96.85645878090176,7.242637881009295,False
P01,NGEED,2,TURUN,mu,O1,86.15999430959587,133.27348447207865,False
P01,NGEED,2,TURUN,mu,O2,-12.759106538380415,-15.823706018525519,False
P01,NGEED,2,TURUN,beta,C3,-11.013136994254724,3.299243950205577,False
P01,NGEED,2,TURUN,beta,C4,-32.14821996022788,-53.171431769791624,False
P01,NGEED,2,TURUN,beta,P3,250.66770051545203,357.5639170254121,False
P01,NGEED,2,TURUN,beta,P4,254.64367585929227,155.07169687995722,False
P01,NGEED,2,TURUN,beta,O1,732.8885974038028,524.5967392729721,False
P01,NGEED,2,TURUN,beta,O2,-10.130420606334722,4.418099564552191,False
P01,NGEED,2,TAHAN,theta,C3,-99.18688743524406,-97.71878301643756,False
P01,NGEED,2,TAHAN,theta,C4,-78.52038848474618,-96.7436129889905,False
P01,NGEED,2,TAHAN,theta,P3,-68.93046823684149,-67.7777839190349,False
P01,NGEED,2,TAHAN,theta,P4,58.17717606353276,-28.729191428459288,False
P01,NGEED,2,TAHAN,theta,O1,30.828369273178847,-8.51463869149569,False
P01,NGEED,2,TAHAN,theta,O2,105.6541277141314,-27.155930341514857,False
P01,NGEED,2,TAHAN,mu,C3,-99.53522976540624,-97.60810460391016,False
P01,NGEED,2,TAHAN,mu,C4,-83.55375460464664,-92.35034384544358,False
P01,NGEED,2,TAHAN,mu,P3,-68.42594612148382,-72.55579746148534,False
P01,NGEED,2,TAHAN,mu,P4,13.486467175767691,-38.17531728907315,False
P01,NGEED,2,TAHAN,mu,O1,-32.29934161164058,-15.16561578186295,False
P01,NGEED,2,TAHAN,mu,O2,-13.790367745795763,-16.818741065997543,False
P01,NGEED,2,TAHAN,beta,C3,-98.17124685168604,-97.8771156639133,False
P01,NGEED,2,TAHAN,beta,C4,-44.9892033489677,-62.03376178397993,False
P01,NGEED,2,TAHAN,beta,P3,-73.32603211270639,-65.19484055366453,False
P01,NGEED,2,TAHAN,beta,P4,205.37827934888807,119.63836156127394,False
P01,NGEED,2,TAHAN,beta,O1,27.17260956564904,-4.63118656308249,False
P01,NGEED,2,TAHAN,beta,O2,102.16413518430056,134.8914386656611,False
P01,NGEED,2,NAIK,theta,C3,-51.69073945794352,35.53339400794984,False
P01,NGEED,2,NAIK,theta,C4,54.88458372560938,-76.51893534985439,False
P01,NGEED,2,NAIK,theta,P3,728.2999161888164,759.0299680965666,False
P01,NGEED,2,NAIK,theta,P4,2497.324437383446,1070.2915514219849,False
P01,NGEED,2,NAIK,theta,O1,2864.3577298371238,1972.909258660344,False
P01,NGEED,2,NAIK,theta,O2,6974.088611726524,2405.689573706011,False
P01,NGEED,2,NAIK,mu,C3,-61.56640672560839,97.79479830191598,False
P01,NGEED,2,NAIK,mu,C4,-29.300302200691508,-67.11538923354735,False
P01,NGEED,2,NAIK,mu,P3,364.49783039220665,303.7420277115023,False
P01,NGEED,2,NAIK,mu,P4,3749.13114270809,1996.9135574738202,False
P01,NGEED,2,NAIK,mu,O1,3078.2919113463017,3882.656056575511,False
P01,NGEED,2,NAIK,mu,O2,9805.220374278137,9457.269636897277,False
P01,NGEED,2,NAIK,beta,C3,-43.13388631698917,-33.98771064148871,False
P01,NGEED,2,NAIK,beta,C4,101.05148059513849,38.75764160225674,False
P01,NGEED,2,NAIK,beta,P3,613.0681748582471,830.4371823087936,False
P01,NGEED,2,NAIK,beta,P4,3162.575537995028,2246.5544018487144,False
P01,NGEED,2,NAIK,beta,O1,4053.1258640348547,3014.4968013156413,False
P01,NGEED,2,NAIK,beta,O2,12409.321145909731,14434.39027656818,False
P01,NGEED,2,POST,theta,C3,-96.58320562702124,-90.4140586545736,False
P01,NGEED,2,POST,theta,C4,14.66642526382287,-82.61615404157408,False
P01,NGEED,2,POST,theta,P3,584.3364841125211,609.7254709615204,False
P01,NGEED,2,POST,theta,P4,144.30535178818968,10.0780807548708,False
P01,NGEED,2,POST,theta,O1,184.44322314486402,98.90480318398538,False
P01,NGEED,2,POST,theta,O2,1676.08920586952,529.1026942667718,False
P01,NGEED,2,POST,mu,C3,-97.15743534522262,-85.37101388002478,False
P01,NGEED,2,POST,mu,C4,-35.30367918818247,-69.90774509450621,False
P01,NGEED,2,POST,mu,P3,91.12232933395667,66.12373995607767,False
P01,NGEED,2,POST,mu,P4,404.6681985355505,174.93102944540038,False
P01,NGEED,2,POST,mu,O1,190.15884148351262,263.59242625820985,False
P01,NGEED,2,POST,mu,O2,795.8015514357679,764.3338204220894,False
P01,NGEED,2,POST,beta,C3,-90.84585840816419,-89.37353364857104,False
P01,NGEED,2,POST,beta,C4,9.817729388034714,-24.208222237946543,False
P01,NGEED,2,POST,beta,P3,-14.082970048151411,12.107652647139666,False
P01,NGEED,2,POST,beta,P4,167.8806733958671,92.6688182409304,False
P01,NGEED,2,POST,beta,O1,192.60953331654437,119.43265997324275,False
P01,NGEED,2,POST,beta,O2,614.4588545451983,730.1188935344568,False
P01,AGEM KANAN,1,PRA,theta,C3,1132553.3583403006,2304.9234282023017,False
P01,AGEM KANAN,1,PRA,theta,C4,9164.273770405416,112.97008235804209,False
P01,AGEM KANAN,1,PRA,theta,P3,25428.739028664073,4079.2083400318143,False
P01,AGEM KANAN,1,PRA,theta,P4,26206.57562657254,6634.041517523818,False
P01,AGEM KANAN,1,PRA,theta,O1,16842.844483454217,14512.708523868494,False
P01,AGEM KANAN,1,PRA,theta,O2,377780.43237691507,14942.388067339227,False
P01,AGEM KANAN,1,PRA,mu,C3,76861.88759979414,669.0252305593314,False
P01,AGEM KANAN,1,PRA,mu,C4,7430.3268805966145,414.9976056194592,False
P01,AGEM KANAN,1,PRA,mu,P3,31470.58168746657,1995.4001834206242,False
P01,AGEM KANAN,1,PRA,mu,P4,7368.486596077061,5108.544181997157,False
P01,AGEM KANAN,1,PRA,mu,O1,10768.170502273788,11855.148918974655,False
P01,AGEM KANAN,1,PRA,mu,O2,40178.85635354236,8860.54474895124,False
P01,AGEM KANAN,1,PRA,beta,C3,187267.65612249248,2018.1746504968312,False
P01,AGEM KANAN,1,PRA,beta,C4,3057.5334016807437,762.0824741555841,False
P01,AGEM KANAN,1,PRA,beta,P3,6095.029632604966,2005.8547131023652,False
P01,AGEM KANAN,1,PRA,beta,P4,1041.006525388493,1562.119237184024,False
P01,AGEM KANAN,1,PRA,beta,O1,3949.8151556014827,6069.891844821285,False
P01,AGEM KANAN,1,PRA,beta,O2,11018.679263752523,5799.383647434308,False
P01,AGEM KANAN,1,TURUN,theta,C3,1323229.5380469772,2709.7795197859073,False
P01,AGEM KANAN,1,TURUN,theta,C4,26830.825514681088,519.0944125759252,False
P01,AGEM KANAN,1,TURUN,theta,P3,36809.56801680946,5942.318592768102,False
P01,AGEM KANAN,1,TURUN,theta,P4,12624.893984209766,3157.359133782557,False
