participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P15,AGEM KANAN,3,NAIK,beta,8288.289026608834,5349.368695417704,8288.289026608834,5349.368695417704,
P15,AGEM KANAN,3,NAIK,mu,13216.74970955581,6259.679072599082,13216.74970955581,6259.679072599082,
P15,AGEM KANAN,3,POST,beta,2135.7329077039294,1276.011095540501,2135.7329077039294,1276.011095540501,
P15,AGEM KANAN,3,POST,mu,2806.1092153333575,2617.5488576515027,2806.1092153333575,2617.5488576515027,
P15,AGEM KANAN,3,POST,theta,3341.1211863029075,4935.929909449215,3341.1211863029075,4935.929909449215,
P15,AGEM KANAN,3,PRA,beta,9390.824999556758,369.02244151407336,9390.824999556758,369.02244151407336,
P15,AGEM KANAN,3,PRA,mu,13095.53180815805,354.0173087296287,13095.53180815805,354.0173087296287,
P15,AGEM KANAN,3,PRA,theta,12752.964078907406,602.7879710995921,12752.964078907406,602.7879710995921,
P15,AGEM KANAN,3,TAHAN,beta,630.7893016427225,194.4863832733284,630.7893016427225,194.4863832733284,
P15,AGEM KANAN,3,TAHAN,mu,588.6550031682673,223.14972081130733,588.6550031682673,223.14972081130733,
P15,AGEM KANAN,3,TAHAN,theta,534.2645107442218,337.0335047365848,534.2645107442218,337.0335047365848,
P15,AGEM KANAN,3,TURUN,beta,28438.4468824811,5509.557165428417,28438.4468824811,5509.557165428417,
P15,AGEM KANAN,3,TURUN,mu,37194.11745482549,4992.746340977086,37194.11745482549,4992.746340977086,
P15,AGEM KANAN,3,TURUN,theta,46977.1252502035,13598.324086067956,46977.1252502035,13598.324086067956,
P15,AGEM KIRI,1,NAIK,beta,2216.1878197586566,930.0156269759511,930.0156269759511,2216.1878197586566,
P15,AGEM KIRI,1,NAIK,mu,3556.120489486019,277.21506504716604,277.21506504716604,3556.120489486019,
P15,AGEM KIRI,1,NAIK,theta,3881.089256028205,692.5033577179145,692.5033577179145,3881.089256028205,
P15,AGEM KIRI,1,POST,beta,1048102.3248680828,1416.4046852354995,1416.4046852354995,1048102.3248680828,
P15,AGEM KIRI,1,POST,mu,1475721.2507522556,1165.5264623400558,1165.5264623400558,1475721.2507522556,
P15,AGEM KIRI,1,POST,theta,3003840.8812476527,1295.578168585182,1295.578168585182,3003840.8812476527,
P15,AGEM KIRI,1,PRA,beta,142288.1335366731,375.5626832895531,375.5626832895531,142288.1335366731,
P15,AGEM KIRI,1,PRA,mu,41232.46274878172,274.5994987039188,274.5994987039188,41232.46274878172,
P15,AGEM KIRI,1,PRA,theta,95422.97517760661,748.7768129538329,748.7768129538329,95422.97517760661,
P15,AGEM KIRI,1,TAHAN,beta,27192.41095743642,654.8912865829979,654.8912865829979,27192.41095743642,
P15,AGEM KIRI,1,TAHAN,mu,35715.2388564138,138.1940900615774,138.1940900615774,35715.2388564138,
P15,AGEM KIRI,1,TAHAN,theta,32735.19523655903,50.013756610825666,50.013756610825666,32735.19523655903,
P15,AGEM KIRI,1,TURUN,beta,1552.9628806649703,3208.1498511146665,3208.1498511146665,1552.9628806649703,
P15,AGEM KIRI,1,TURUN,mu,503.4999163440113,3229.015677754067,3229.015677754067,503.4999163440113,
P15,AGEM KIRI,2,NAIK,beta,490.93227712139804,29.054493455448824,29.054493455448824,490.93227712139804,
P15,AGEM KIRI,2,NAIK,mu,179.27423785286132,21.903515717812525,21.903515717812525,179.27423785286132,
P15,AGEM KIRI,2,POST,beta,1093450.2987433865,357.57014678327704,357.57014678327704,1093450.2987433865,
P15,AGEM KIRI,2,POST,mu,2110081.4509074655,352.9510978785054,352.9510978785054,2110081.4509074655,
P15,AGEM KIRI,2,POST,theta,2663100.9354874147,431.3967331026779,431.3967331026779,2663100.9354874147,
P15,AGEM KIRI,2,PRA,beta,2246.8046534757536,109.87267768303006,109.87267768303006,2246.8046534757536,
P15,AGEM KIRI,2,PRA,mu,3874.857738912394,47.508734657795706,47.508734657795706,3874.857738912394,
P15,AGEM KIRI,2,PRA,theta,7111.811824850883,93.78438696513687,93.78438696513687,7111.811824850883,
P15,AGEM KIRI,2,TAHAN,beta,5427.6465274898155,20.95832611597661,20.95832611597661,5427.6465274898155,
P15,AGEM KIRI,2,TAHAN,mu,5884.944507560953,-48.65669865590166,-48.65669865590166,5884.944507560953,
P15,AGEM KIRI,2,TAHAN,theta,3329.266458853949,-54.19991411062817,-54.19991411062817,3329.266458853949,
