participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,is_simulated,theta_db,mu_db,beta_db,broad_db
P09,NGEED,1,PRA,Fp1,frontopolar,kiri,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,1.6285229509125756,-1.0970041735465905,0.4749584662129429,-0.059144413175005184
P09,NGEED,1,PRA,F3,frontal,kiri,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,7.695956376033692,4.594292900945547,6.657601361961838,6.693892177360144
P09,NGEED,1,PRA,C3,sentral,kiri,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,9.644811937021661,6.493685941296633,8.084310762519705,7.726464037845151
P09,NGEED,1,PRA,P3,parietal,kiri,4.831,6.831,2.0,2.0,ok,video,0.385,False,False,,,,
P09,NGEED,1,PRA,O1,oksipital,kiri,4.831,6.831,2.0,2.0,ok,video,0.885,False,False,,,,
P09,NGEED,1,PRA,F7,frontotemporal,kiri,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,5.470512541175516,4.738671314623126,6.174429735739075,3.1860270804315256
P09,NGEED,1,PRA,T3,temporal,kiri,4.831,6.831,2.0,2.0,ok,video,1.0,False,False,,,,
P09,NGEED,1,PRA,T5,temporo-posterior,kiri,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,0.8682829143213233,1.6305357703687768,2.596947998662472,4.164719464049561
P09,NGEED,1,PRA,Fp2,frontopolar,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,5.9718135954913265,5.50872958562163,1.9767601773604895,3.781569699174611
P09,NGEED,1,PRA,F4,frontal,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,7.931120385915943,5.959278925328018,3.4267355780512005,5.427369417551628
P09,NGEED,1,PRA,C4,sentral,kanan,4.831,6.831,2.0,2.0,ok,video,0.385,False,False,,,,
P09,NGEED,1,PRA,P4,parietal,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,4.778074596960828,0.5895144317879293,2.00968574982603,1.8658050044439882
P09,NGEED,1,PRA,O2,oksipital,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,12.552508456371196,8.560648077066162,8.2314318321359,9.288488410188492
P09,NGEED,1,PRA,F8,frontotemporal,kanan,4.831,6.831,2.0,2.0,ok,video,0.385,False,False,,,,
P09,NGEED,1,PRA,T4,temporal,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,3.4060526950282792,2.282337680722655,0.46043256228455576,5.35795873640884
P09,NGEED,1,PRA,T6,temporo-posterior,kanan,4.831,6.831,2.0,2.0,ok,video,0.0,True,False,6.151568117528214,5.466665144866212,4.52785258771172,3.6384625839521405
P09,NGEED,1,TURUN,Fp1,frontopolar,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,5.114620125347308,4.912980038464163,0.530314876540853,4.0316527864605405
P09,NGEED,1,TURUN,F3,frontal,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,5.647462859483099,6.557986589426292,4.783582892389138,6.977422480588331
P09,NGEED,1,TURUN,C3,sentral,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,2.9997983403719886,5.388135334531668,6.1908617929981045,4.488030508808304
P09,NGEED,1,TURUN,P3,parietal,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,-2.008147097653449,1.5913576149463253,0.27657015748565783,-1.2747833108680382
P09,NGEED,1,TURUN,O1,oksipital,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,-2.021205672922253,1.6889147744970145,3.1683702910950373,-2.1927538355541785
P09,NGEED,1,TURUN,F7,frontotemporal,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,5.341160949527001,5.581213996548215,2.4571592502004798,5.475112687539163
P09,NGEED,1,TURUN,T3,temporal,kiri,7.602,8.671,1.527,1.069,ok,video,0.439,False,False,,,,
P09,NGEED,1,TURUN,T5,temporo-posterior,kiri,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,-1.538587578411974,0.10871914060769328,3.4208702210866306,0.7654900922664183
P09,NGEED,1,TURUN,Fp2,frontopolar,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,3.055324541093654,6.100947706872681,3.084978320525643,5.927899272032832
P09,NGEED,1,TURUN,F4,frontal,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,5.094701320458018,7.264276801462838,4.413465597796783,7.5003460528545
P09,NGEED,1,TURUN,C4,sentral,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,4.661988941455665,7.679479338980322,2.946582532392739,5.701555690545838
P09,NGEED,1,TURUN,P4,parietal,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,3.884422253270486,4.94455187824715,0.951933115438333,6.66323361349755
P09,NGEED,1,TURUN,O2,oksipital,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,5.284058476192445,5.5350142592132485,2.502625167757305,6.579921938701396
P09,NGEED,1,TURUN,F8,frontotemporal,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,-0.7587964397014986,-1.8913781676867245,0.6596731195406562,1.657560097441717
P09,NGEED,1,TURUN,T4,temporal,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,-0.017121441222698763,1.3323026365794135,0.15724657984224066,3.1236642136752053
P09,NGEED,1,TURUN,T6,temporo-posterior,kanan,7.602,8.671,1.527,1.069,ok,video,0.0,True,False,6.126410141695423,5.217188209134079,4.780655074518144,5.922884602883556
